id,question,answer,label
628,What areas of research is the Fralin Life Science Institute focused on?,"vector-borne disease, infectious disease and microbial sciences, plant sciences, obesity, cancer biology, and ecology and organismal biology",1.0
629,When was the Biocomplexity Institute of Virginia Tech established?,2000,1.0
630,What research areas does the Biocomplexity Institute of Virginia Tech focus on?,"bioinformatics, computational biology, and systems biology",1.0
631,How many employees does the Biocomplexity Institute of Virginia Tech have?,more than 200,1.0
632,How much active research awards does the Biocomplexity Institute of Virginia Tech have?,$109 million,1.0
633,When was the Virginia Tech Transportation Institute founded?,1988,1.0
634,How many personnel does the Virginia Tech Transportation Institute employ?,more than 350,1.0
635,How much active research awards does the Virginia Tech Transportation Institute have?,$125 million,1.0
636,What is the mission of the Virginia Tech Transportation Institute?,"to save lives, save time, save money, and protect the environment",1.0
637,What is the Virginia Smart Road?,"a 2.2-mile, two-lane, fully instrumented road",0.0
638,Where are the connected-vehicle test beds of the Virginia Tech Transportation Institute located?,Southwest and Northern Virginia,1.0
639,What is the National Tire Research Center?,a laboratory in Southern Virginia,0.0
640,What research areas does the Institute for Critical Technology and Applied Science focus on?,"nuclear engineering, nanoscale science and engineering, nano-bio interface, sustainable energy, safe and sustainable water, national security, cognition and communication systems, renewable materials, and emerging technologies",0.0
641,Who is the current director of the Institute for Critical Technology and Applied Science?,Dr. Stefan Duma,0.0
642,What are some other research areas conducted at Virginia Tech?,"high-performance computing, advanced materials, wireless telecommunication, housing, human and animal health, cognition, development, and behavior, the environment, and energy",1.0
643,Where is the Virginia Tech campus located?,"Blacksburg, Virginia",1.0
644,What style are most buildings on the Virginia Tech campus?,neo-Gothic,1.0
645,What are some notable green spaces on the Virginia Tech campus?,"Hahn Horticulture Garden, Virginia Tech Duck Pond, and Stadium Woods",1.0
646,What is the Drillfield?,a large oval field in the center of the Blacksburg campus,1.0
647,What is the significance of the Drillfield's name?,It is used by the Virginia Tech Corps of Cadets to conduct military drills,1.0
648,What waterway runs beneath the Drillfield?,Stroubles Creek,1.0
649,What is located on the northwestern side of the Drillfield?,most of the university's academic and administrative buildings,1.0
650,What is located on the southeastern side of the Drillfield?,most of the residential buildings and dining halls,1.0
651,What is located on the eastern side of campus?,Newman Library,1.0
652,What is the Upper Quad?,an area on the north of the Drillfield that is home to the Corps of Cadets' barracks,1.0
653,What building material is commonly used in Virginia Tech's buildings?,Hokie Stone,1.0
654,When did the board of visitors pass a resolution about using Hokie Stone in all building projects?,2010,1.0
655,How many branch campuses has Virginia Tech established?,5,1.0
656,What are the strategic research areas of excellence at Virginia Tech?,"energy materials and environment, social and individual transformation, health, food, and nutrition, and innovative technologies and complex systems",1.0
657,Where is the Virginia Tech National Capital Region located?,"Alexandria, Arlington, Fairfax, Falls Church, Leesburg, Manassas, and Middleburg",1.0
658,What is the Biomedical Technology Development and Management program?,It is a graduate level degree created by Virginia Tech in response to future directions in medical product discovery and development and the emerging needs of industry and regulatory agencies,1.0
659,Where is the Language and Culture Institute of Virginia Tech located?,Fairfax,1.0
660,What is the Caribbean Center for Education and Research?,"It is a center in Punta Cana, Dominican Republic that provides a base for Virginia Tech faculty to conduct research and instruct students on various topics",1.0
661,Where is the Center for European Studies and Architecture located?,"Riva San Vitale, Ticino, the Italian-speaking canton of Switzerland",1.0
662,What are some of the agricultural research and extension centers at Virginia Tech?,"Alson H. Smith, Jr., Eastern Shore, Eastern Virginia, Hampton Roads, Middleburg, Reynolds Homestead, Shenandoah Valley, Southern Piedmont, Southwest Virginia, Tidewater, and Virginia Seafood",1.0
663,What does the Central Steam Power Plant at Virginia Tech provide?,"It provides campus buildings with a portion of their heat, hot water, and electricity needs",1.0
664,How many student organizations are there at Virginia Tech?,There are more than 700 student organizations,1.0
665,What is the requirement for participation in the Virginia Tech Corps of Cadets?,"Until 1923, every able-bodied male was required to participate for four years in the Virginia Tech Corps of Cadets. The requirement was changed to two years until 1964, when participation became voluntary",1.0
666,How many cadets reside on the campus of Virginia Tech?,"More than 1,000 cadets reside on the campus of Virginia Tech",1.0
667,How many fraternities and sororities are recognized at Virginia Tech?,There are 23 IFC fraternities and 13 National Panhellenic Conference sororities recognized at Virginia Tech,1.0
668,What are the athletic teams at Virginia Tech called?,The athletic teams at Virginia Tech are called the Hokies,1.0
669,Which conference do the Virginia Tech teams primarily compete in?,The Virginia Tech teams primarily compete in the Atlantic Coast Conference (ACC),1.0
670,What sports are offered for men at Virginia Tech?,"baseball, basketball, cross country, football, golf, soccer, swimming & diving, tennis, track & field and wrestling",1.0
671,What sports are offered for women at Virginia Tech?,"basketball, cross country, field hockey, golf, lacrosse, rowing, soccer, softball, swimming & diving, tennis, track & field and volleyball",1.0
672,What are some of the prominent athletic facilities at Virginia Tech?,"Lane Stadium, Cassell Coliseum, English Field, Thompson Field, Tech Softball Park, Rector Field House, the Beamer-Lawson Indoor Practice Facility, and the Christiansburg Aquatic Center",1.0
673,What is the fight song of Virginia Tech?,The fight song of Virginia Tech is called 'Tech Triumph',1.0
674,What are some of the athletic conferences Virginia Tech has competed in?,"Big East Conference, Atlantic 10 Conference, and Metro Conference",1.0
675,Who is a notable faculty member in the field of biomedical engineering at Virginia Tech?,Romesh Batra,1.0
676,Who is a notable faculty member in the field of geosciences at Virginia Tech?,Patricia Dove,1.0
677,Who is a notable faculty member in the field of civil and environmental engineering at Virginia Tech?,Marc Edwards,1.0
678,Who is a notable faculty member in the field of history at Virginia Tech?,Roger Ekirch,1.0
679,Who is a notable faculty member in the field of English at Virginia Tech?,Nikki Giovanni,1.0
680,Who is a notable faculty member in the field of virology at Virginia Tech?,Xiang-Jin Meng,1.0
681,Who is the current president of Virginia Tech?,Timothy Sands,1.0
682,How many alumni does Virginia Tech have internationally and from all 50 states?,"Over 240,000",1.0
683,How many chapters does the Virginia Tech Alumni Association have?,Over 100,1.0
684,How many generals and admirals has Virginia Tech produced?,97,1.0
685,How many Virginia Tech alumni have been awarded the Medal of Honor?,Eight,1.0
686,Who is a notable Virginia Tech alumni in the field of literature?,Kwame Alexander,1.0
687,Who is a notable Virginia Tech alumni in the field of business?,Dave Calhoun,1.0
688,Who is a notable Virginia Tech alumni in the field of music?,Charlie Byrd,1.0
689,Who is a notable Virginia Tech athlete?,Michael Vick,1.0
690,"What is the population of Blacksburg, Virginia?","44,826",0.0
691,What is the name of the Metropolitan Statistical Area that includes Blacksburg?,Blacksburg-Christiansburg Metropolitan Statistical Area,0.0
692,Which high school in Blacksburg is known for its academics?,Blacksburg High School,0.0
693,Who claimed the lands comprising the river's drainage basin for King Charles II?,Batts and Fallam party,0.0
694,Which Indian tribe attacked the frontier outpost at Draper's Meadow?,Shawnee Indians,0.0
695,When was the official establishment and founding of Blacksburg?,"January 13, 1798",0.0
696,What is the oldest building on the Virginia Tech campus?,Solitude,1.0
697,When was the Blacksburg Female Academy established?,1840,0.0
698,When was the Olin and Preston Institute established?,1851,0.0
699,When was the Blacksburg Savings Institution established?,1849,0.0
700,When was the first newspaper published in Blacksburg?,1869,0.0
701,When was Blacksburg incorporated?,1871,0.0
702,When did the Virginia Agricultural and Mechanical College open?,"October 2, 1872",1.0
703,What is the current name of the Virginia Agricultural and Mechanical College?,Virginia Tech,1.0
704,When was the fire-fighting unit organized within the university?,1899,1.0
705,When was the first fire truck bought by the town?,43 years later,0.0
706,When was the Blacksburg First Aid and Life Saving Crew founded?,1951,0.0
707,When did the first automobile come through the town?,1901,0.0
708,When did the train enter Blacksburg from Christiansburg?,Three years later,0.0
709,When was the town's first filling station opened?,1919,0.0
710,When was the town's first landing strip built?,1929,0.0
711,When did local buses begin to make their rounds for the first time?,1947,0.0
712,When was the town's first theater built?,1909,0.0
713,What are Virginia Tech's sports teams called?,The Hokies,1.0
714,When was the word 'Hokie' first used?,1896,1.0
715,Who created the word 'Hokie'?,O. M. Stull,1.0
716,Why was the word 'Hokie' created?,To replace the old spirit yell when the college's name changed,1.0
717,What are the official school colors of Virginia Tech?,Chicago Maroon and Burnt Orange,1.0
718,What is the mascot of Virginia Tech?,The HokieBird,1.0
719,What is the abbreviation for Virginia Tech?,VT,1.0
720,What is the name of Virginia Tech's fight song?,Tech Triumph,1.0
721,What conference does Virginia Tech's teams participate in?,Atlantic Coast Conference (ACC),1.0
722,When did Virginia Tech join the ACC?,2003,1.0
723,What documentary is about Virginia Tech's football traditions?,Hokie Nation,0.0
724,Did Virginia Tech ever seek admission to the ACC before 1977?,Yes,1.0
725,What conference did Virginia Tech join in 1978?,Metro Conference,1.0
726,When was Virginia Tech invited to join the Big East Conference for football only?,1991,1.0
727,Which teams were members of the Big East football conference?,"Boston College, Miami, Pittsburgh, Rutgers, Syracuse, Temple, Virginia Tech, and West Virginia",1.0
728,When did Virginia Tech join the Atlantic 10 Conference?,June 1995,1.0
729,How much did Virginia Tech pay to join the Big East conference?,$8.3 million,1.0
730,Which conference did Virginia Tech join after being invited by the ACC?,Atlantic Coast Conference (ACC),1.0
731,Who was the head coach of Virginia Tech's football team from 1987 to 2015?,Frank Beamer,1.0
732,Who succeeded Frank Beamer as the head coach of Virginia Tech's football team?,Justin Fuente,1.0
733,Where does Virginia Tech's football team play their home games?,Lane Stadium,1.0
734,How many times has Virginia Tech's football team finished with a top-10 ranking?,Five times,1.0
735,Who is the current head coach of Virginia Tech's men's basketball team?,Mike Young,1.0
736,How many times has Virginia Tech's men's basketball team made the NCAA Tournament?,11 times,1.0
737,Who was the head coach of Virginia Tech's men's basketball team before Buzz Williams?,Seth Greenberg,1.0
738,Who is the current head coach of Virginia Tech's women's basketball team?,Kenny Brooks,1.0
739,Who is the head coach of Virginia Tech's men's soccer team?,Oliver Weiss,1.0
740,Who is the winningest coach in Division I baseball history at Virginia Tech?,Chuck Hartman,0.0
741,When did the Virginia Tech softball team start its varsity program?,1996,1.0
742,How many conference championship games has the Virginia Tech softball team played in?,6,1.0
743,In what year did the Virginia Tech softball team win both the ACC regular season and tournament titles?,2007,1.0
744,Who was the head coach of the Virginia Tech softball team?,Scot Thomas,1.0
745,Who was the senior All-American pitcher for the Virginia Tech softball team?,Angela Tincher,1.0
746,When did the Virginia Tech softball team make their first College World Series appearance?,2008,1.0
747,Which team did the Virginia Tech softball team upset in a 1-0 no-hitter in 2008?,USA national team,1.0
748,Who helped start the Virginia Tech softball program in 1996?,Scot Thomas,1.0
749,When was Pete D'Amour announced as the new head coach of the Virginia Tech softball program?,"May 31, 2018",1.0
750,How many conference championships has the Virginia Tech men's golf team won?,12,1.0
751,Who was the first American to win the British Amateur golf tournament since 1979?,Drew Weaver,0.0
752,Which Virginia Tech golfer won three PGA Tour wins?,Johnson Wagner,1.0
753,Who was named the head coach of the Virginia Tech wrestling program in 2006?,Kevin Dresser,1.0
754,Who became the wrestling program's head coach in 2017?,Tony Robie,1.0
755,Who became the first Hokie wrestler to win a national championship for Virginia Tech?,Mekhi Lewis,1.0
756,When was the Virginia Tech Ice Hockey team formed?,1984,1.0
757,Which conference did the Virginia Tech Ice Hockey team join in 1995?,ACCHL,1.0
758,Who did the Virginia Tech rugby team defeat to win the Atlantic Coast Rugby League 7s in 2012?,Virginia,1.0
759,When did the Virginia Tech College Bass team win their first national title?,2006-2007 school year,1.0
760,Which league did the Virginia Tech Club Field Hockey team win the championship in fall 2017?,National Field Hockey League,1.0
761,Who came up with the spirit cheer 'Old Hokie'?,O.M. Stull,1.0
762,What was the original spirit cheer?,"Hoki, Hoki, Hoki, Hy. Techs, Techs, V.P.I. Sola-Rex, Sola-Rah. Polytechs - Vir-gin-ia. Rae, Ri, V.P.I.",1.0
763,What changes were made to the original cheer?,An 'e' was added to 'Hoki' to make 'Hokie' and 'Team! Team! Team!' was attached to the end.,1.0
764,What name did the university adopt in 1896?,Virginia Agricultural and Mechanical College and Polytechnic Institute,1.0
765,What colors were selected to replace the original colors of black and gray?,Burnt orange and Chicago maroon,1.0
766,When were the colors burnt orange and Chicago maroon first worn?,"October 26, 1896",1.0
767,What was the original nickname for Hokies?,Gobblers,1.0
768,What is the origin of the 'Gobblers' nickname?,"It is widely disputed, but one story claims it resulted from the way student athletes would 'gobble' up their food.",1.0
769,Who trained a large turkey to pull a cart at a football game in 1913?,Floyd Meade,1.0
770,When did the current HokieBird mascot debut?,September 1987,1.0
771,When do students who dress as the HokieBird reveal their secret identity?,During commencement by wearing HokieBird feet,1.0
772,Who composed the fight song 'Tech Triumph'?,Wilfred P. Maddux and Mattie Eppes,1.0
773,When was 'Tech Triumph' officially adopted by the student body?,December 1919,1.0
774,What are the colors of Virginia Tech?,Orange and Maroon,1.0
775,What is the nickname for Virginia Tech students?,Techmen,0.0
776,What is the full name of the university?,Virginia Polytechnic Institute and State University (V.P.I),1.0
777,When was the Alma Mater of Virginia Tech created?,Spring 1939,1.0
778,Who composed the music for the Alma Mater?,Ernest T. Sparks,1.0
779,Who wrote the lyrics for the Alma Mater?,L.G. Chase,1.0
780,What is the chorus of the Alma Mater?,"VT, all hail to thee",1.0
781,What are the colors of Virginia Tech?,Orange and Maroon,1.0
782,What is the title of the famous Virginia Tech entrance song?,Enter Sandman,1.0
783,Who wrote and recorded the song 'Enter Sandman'?,Metallica,1.0
784,When did the tradition of playing 'Enter Sandman' in Lane Stadium start?,2000,1.0
785,What is the tradition associated with the song 'Enter Sandman' in Lane Stadium?,Students jumping up and down during the song,1.0
786,When did the tradition of students jumping during the song 'Enter Sandman' start?,"December 1, 2001",1.0
787,"Who started jumping during the song 'Enter Sandman' on December 1, 2001?",A Marching Virginians band member,1.0
788,Where did the tradition of jumping during the song 'Enter Sandman' eventually spread to?,The basketball teams' entrances in Cassell Coliseum,1.0
789,What does the Virginia Tech lunch pail symbolize?,The blue-collar approach of the Hokies' football defense,1.0
790,Who developed the Lunch Pail Defense?,Bud Foster,1.0
791,What does Foster's Lunch Pail Defense Foundation do?,Provides scholarships for high school students and assists families of those awaiting organ transplants,1.0
792,Who acquired the original lunch pail in 1995?,The mother-in-law of co-defensive coordinator Rod Sharpless,1.0
793,Who did the lunch pail originally belong to?,A coal miner,1.0
794,What happened to the lunch pail after the record-setting defensive season?,It became an iconic element of Hokie football lore,1.0
795,What does the lunch pail now contain?,"The names of the 32 Hokies who died in the tragedy on April 16, 2007",1.0
796,What is Ranger Company?,Ranger Company is the Army ROTC company at Virginia Tech.,1.0
797,How long has Ranger Company performed the Game-Ball Run?,Ranger Company has performed the Game-Ball Run every year since 1977.,1.0
798,What is the purpose of the Game-Ball Run?,The purpose of the Game-Ball Run is to run the game ball for 100 miles around campus during the week of the annual homecoming football game.,1.0
799,When does the Game-Ball Run ceremony take place?,The Game-Ball Run ceremony takes place on the day of the homecoming football game.,1.0
800,What happens during the Game-Ball Run ceremony?,"During the Game-Ball Run ceremony, the ball is run into the stadium and there is a ceremony held.",1.0
801,What is the tradition likely originated with?,The tradition likely originated with the Virginia Tech-VMI football games.,1.0
802,What is Skipper?,Skipper refers to the firing of cannons during the Game-Ball Run.,0.0
803,Who made a pact to build a cannon to outshine VMI's 'Little John'?,Homer Hadley 'Sonny' Hickam and Alton B. 'Butch' Harper Jr.,1.0
804,What happened when the cadets fired the cannon for the first time?,"The charge was tripled, blowing off the hats of half the VMI Keydets and shaking the glass in the pressbox windows.",1.0
805,Who is 'Skipper' named after?,President John F. Kennedy,1.0
806,When did women join the athletics fold at Virginia Tech?,1970 for swimming and 1972 for basketball,1.0
807,What conferences has Virginia Tech been a member of?,"Several conferences, including the Atlantic Coast Conference since 2004",1.0
808,What are some of the men's varsity sports at Virginia Tech?,"Football, basketball, baseball, soccer, track, swimming, wrestling, tennis, golf, and cross country",1.0
809,What are some of the women's varsity sports at Virginia Tech?,"Basketball, tennis, volleyball, swimming, track, soccer, softball, lacrosse, golf, and cross country",1.0
810,What is the Student-Athlete Performance Center for?,"It benefits recruiting, nutrition, and performance for all 22 varsity sports",1.0
811,When did the Virginia Tech Corps of Cadets become official?,In the 1890s,1.0
812,What was the original name of Lane Hall?,Barracks No. 1,1.0
813,What is the significance of the orange and maroon sidewalk in front of Lane Hall?,It forms the largest 'VT' on campus,1.0
814,What has replaced older cadet residence halls in recent updates?,Pearson and New Cadet halls,1.0
815,What does the plaza between Pearson and New Cadet halls display?,"The Corps' monuments, honoring those who have served in the past and present",1.0
816,What is the tradition of the Corps of Cadets at Virginia Tech?,Retracing the walk Add Caldwell took from Craig County,1.0
817,When do the cadets cover the first and second 13 miles?,In the fall and the spring respectively,1.0
818,What is Hokie Stone?,A limestone common in Southwest Virginia,1.0
819,When was Hokie Stone first used in campus building construction?,1899,1.0
820,What is the requirement for new central campus buildings at Virginia Tech?,They must bear Hokie Stone,1.0
821,What colors can Hokie Stone vary from?,"Grays, browns, blacks, pinks, oranges, and maroons",1.0
822,Since when has the university operated its own quarry?,The mid-1950s,1.0
823,What do The Pylons above War Memorial Chapel bear?,The names of every Virginia Tech student and graduate who died defending our nation’s freedom,1.0
824,What do The Pylons represent from left to right?,"Brotherhood, Honor, Leadership, Sacrifice, Service, Loyalty, Duty, and Ut Prosim",1.0
825,When did the graduating class hold an alumni meeting?,The morning of August 9.,0.0
826,Where did the alumni meeting take place?,Lee Society hall.,0.0
827,Who gave remarks at the alumni meeting?,President Minor and J. Lawrence Radford.,0.0
828,Who was elected as secretary of the alumni association?,Add.,0.0
829,When were the officers elected for the ensuing year?,During the alumni meeting.,0.0
830,"When did Add, Mic, and Frank start teaching school?",By 1880,0.0
831,How many teachers did Craig County employ at that time?,26,0.0
832,What did an editor of The Gray Jacket complain about in 1877?,That so few 'Old Boys' are farmers and so many became teachers,0.0
833,What did the editor say about the teaching public schools in their immediate neighborhoods?,"That the session of these schools holds only through a part of the fall, winter, and spring months",0.0
834,What did the editor suggest the 'Old Boys' are doing in summer?,Farming,0.0
835,Where was Add living in 1887?,Roanoke,0.0
836,Who was Add possibly living with in Roanoke?,E. Gambill Caldwell,0.0
837,Where was Add working in 1887?,general office of Norfolk and Western,0.0
838,Which church was Add attending in 1887?,First Presbyterian Church,0.0
839,Did Add's brothers also work at Norfolk and Western?,Yes,0.0
840,Did Add attend V.A.M.C. with his brothers?,Yes,0.0
841,Where did Add move to around 1898?,"Wilmington, N.C.",0.0
842,When did Add move his church membership to Wilmington?,March of 1902,0.0
843,What business was Add interested in in Roanoke?,Real estate,0.0
844,Is it known if Add derived an income from the sale of property?,"No, it is not known",0.0
845,How was Add described at the railroad office?,A well known and popular employee,0.0
846,Where did Add work in Wilmington?,Add worked for several large wholesale firms on the wharf in Wilmington.,0.0
847,Which companies did Add work for in Wilmington?,"Add worked for the Stove Company, Mr. W.B. Cooper, Messrs. Blair & Haly, and the C.C. Covington Company in Wilmington.",0.0
848,Did Add travel for work?,"Yes, Add traveled part of the time out of Wilmington for work.",0.0
849,What did the Virginia Tech Alumni Association report about Add?,The Virginia Tech Alumni Association reported in 1911 that Add had been a salesman for a molasses firm.,0.0
850,Where did Add's brother Mic move to?,Radford,0.0
851,What did Mic persuade his parents to do?,Sell the family farm in Sinking Creek and move to Radford,0.0
852,Where did Grace and Nell move with their parents?,To a house across the street from Mic,0.0
853,Where did Add visit his relatives during summer vacations?,Radford,0.0
854,When did Add's health decline?,Sometime before 1910,0.0
855,What surgery did Add undergo?,Brain tumor surgery,0.0
856,Where did Add recuperate from the operation?,At his mother's home,0.0
857,When did Add's father die?,Around 1904,0.0
858,Why did Add secure a position at the Tangmoore Hotel?,Because the doctor told him salt air would be good for him,0.0
859,Where is the Tangmoore Hotel located?,At Wrightsville Beach near Wilmington,0.0
860,When did Add start working at the Tangmoore Hotel?,Around the first of June,0.0
861,How long was Add's job at the Tangmoore Hotel supposed to last?,Until September 1,0.0
862,When did Add write the letter?,"June 15, 1910",0.0
863,Who did Add write the letter to?,His niece,0.0
864,What activities did Add do with his niece?,Play games and help with chores,0.0
865,What did Add admit about the hotel?,It was a fine place to spend the summer,0.0
866,Where did Add say he would rather be?,Radford,0.0
867,How long has the person been at Virginia Tech?,Not long enough.,0.0
868,Is the person able to determine if the salt air will benefit them?,"No, they are not able to tell yet.",0.0
869,How is the person feeling?,"About the same, neither worse nor better.",0.0
870,Who closed the letter by asking Mrs. Mendez?,Add,0.0
871,How old was Mrs. Mendez when the letter was written?,nine years old,0.0
872,Who did Add want Mrs. Mendez to remember him to?,her grandmother (his mother),0.0
873,What did Add say to Mrs. Mendez?,"with much love to all of you and especially to yourself, I am fondly yours",0.0
874,When did Add die?,"June 29, 1910",0.0
875,Where was Add's body taken after he died?,Radford,0.0
876,Who conducted Add's funeral service?,Dr. W.C. Campbell,0.0
877,Where was Add buried?,Caldwell family cemetery in Radford,0.0
878,Who donated a letter from William Addison Caldwell to Virginia Tech?,His niece,0.0
879,What did a nephew and namesake of William Addison Caldwell donate to Virginia Tech?,His uncle's bible,0.0
880,What was the role of William Addison Caldwell in the birthing process of Virginia Tech?,Singular,0.0
881,What is Lane Hall originally known as?,Barracks No. 1,1.0
882,What disciplines are the offices in Lane Hall for?,College of Liberal Arts and Human Sciences,1.0
883,What is the tradition that cadets continue in front of Lane Hall?,Standing retreat,1.0
884,When was Lane Hall completed?,1888,1.0
885,What is the purpose of the multimillion project for Lane Hall?,To return the hall to the corps and provide classrooms and a suitable space for the Corps of Cadets Museum,1.0
886,Who was Lane Hall renamed after in the 1950s?,Gen. James H. Lane,1.0
887,What is the significance of Lane Hall being added to the National Register of Historic Places?,It recognizes its historical importance,1.0
888,What was the original purpose of Lane Hall?,It was used as barracks for 78 years,1.0
889,What is the abbreviation for Lane Hall?,LANE,1.0
890,When was Lane Hall added to the National Register of Historic Places?,2015,1.0
891,When was the game cannon of Virginia Tech created?,The game cannon of Virginia Tech was created in the dreams of three cadets of the class of 1964.,1.0
892,Where was the game cannon of Virginia Tech tested?,The game cannon of Virginia Tech was tested in the heat of battle between VPI and VMI.,1.0
893,Who were the two close friends in the Corps who made a pact to build the largest game cannon in the world?,The two close friends in the Corps who made a pact to build the largest game cannon in the world were Butch Harper and Sonny Hickam.,1.0
894,What did Butch and Sonny vow to do after witnessing VMI's game cannon?,Butch and Sonny vowed to build the largest game cannon in the world so that VMI would not be allowed to 'out cannon' Virginia Tech.,1.0
895,How did Butch and Sonny plan to get the money to build the game cannon?,Butch and Sonny planned to get the money to build the game cannon from the Corps itself with some help from Alumni.,1.0
896,What did Sonny suggest as a way to raise money for the game cannon?,Sonny suggested having a wooden mold made of the barrel at their college of mechanical engineering as a class project.,1.0
897,Who did Ben approach for permission to build the game cannon?,"Ben approached the Commandant of Cadets, General Scheve, for permission to build the game cannon.",1.0
898,What position did Ben request to be placed in to help build the game cannon?,Ben requested to be placed on the Regimental Staff as the Information Officer to have direct contact with the Alumni for their support.,1.0
899,What did the General ask Ben about the size of the game cannon?,The General asked Ben how big the game cannon was going to be.,0.0
900,What was the General's response to Ben's request to build the game cannon?,The General responded by saying 'Noted' and dismissing Ben.,0.0
901,What position did Sonny receive in the Squadron?,Sonny was made an officer in 'A' Squadron.,1.0
902,What position did Ben receive in the Regimental Staff?,"Ben received the position of Regimental S-2, the Information Officer, in the Regimental Staff.",1.0
903,What did the wooden mold of the barrel inspire in every member of the Corps?,The wooden mold of the barrel inspired every member of the Corps to support the construction of the game cannon.,0.0
904,What did the cadets bring to the meetings to contribute to the construction of the game cannon?,"The cadets brought their dollars, grommets, brass plates, and old brass buckles to contribute to the construction of the game cannon.",1.0
905,What class numerals can be found on the face of the barrel of the game cannon?,"The class numerals of 63, 64, 65, and 66 can be found on the face of the barrel of the game cannon.",1.0
906,Where did Sonny bring brass fittings from?,His father's mine in West Virginia,0.0
907,Where did they take the brass fittings and bullet casings?,Virginia Foundry Company in Roanoke Virginia,0.0
908,Who did the narrator call a few months before?,The President of the Company,0.0
909,What did the President of the Company offer to do?,Make the barrel for free,0.0
910,What did Mr. Hoffman recommend adding to the brass?,Navy gun metal brass,0.0
911,Where did they find the place to make the carriage?,"Lorton Reformatory in Lorton, Virginia",0.0
912,What was the money saved used for?,To make the carriage,0.0
913,What was the name of the cannon?,The cannon did not yet have a name.,0.0
914,Where did they stop first to pick up the barrel?,They stopped by the Foundry in Roanoke.,0.0
915,Who drove the chase car?,George Fox and a few others from A Squadron.,0.0
916,What feeling did they have when they had the cannon?,It was the best feeling in the World.,0.0
917,What happened on the way back to Blacksburg?,They learned that the President had been shot in Dallas.,0.0
918,What tradition did they remember in honor of the President?,The tradition of giving a 50 gun salute to the fallen leader.,0.0
919,What was the name chosen for the cannon?,The cannon was named 'Skipper' in honor of John Fitzgerald Kennedy.,1.0
920,What was the purpose of the first firing of 'Skipper'?,To salute the fallen President,1.0
921,Who devised the special charges for 'Skipper'?,Sonny,1.0
922,What did the General's look in his eyes suggest?,Emotion and surprise,0.0
923,What were the first charges for 'Skipper' made of?,Super fine black gunpowder,1.0
924,How were the charges ignited and placed in the cannon?,One person held the charge while the other lit it and slid it down the barrel,0.0
925,What did the authors of the paragraph do to ensure a proper explosion?,They wrapped the bottles tightly with heavy tape,0.0
926,What was the name given to the cannon?,'Skipper',1.0
927,What tradition was born after the first firing of 'Skipper'?,The tradition of honoring the President with a salute from 'Skipper',0.0
928,What event were the plans being made for?,The Thanksgiving Day game,0.0
929,Who did they meet with to discuss the plans?,Curt Tompkins,0.0
930,What was Curt Tompkins the captain of?,The Highty Tighties,0.0
931,Where did they plan to hide the cannon?,In the stadium in Roanoke,0.0
932,What were they going to let the VMI Corps do?,March in the parade and into the stadium,0.0
933,What chant did the VMI Corps usually do?,"""Where's your cannon?""",0.0
934,"What signal would Sonny, George, and the author give?",They would stand and signal Curt and the Highty Tighties to strike up the march of the Charioteers from Ben Hur,0.0
935,"How many Freshman members of the rat class would pull in ""Skipper""?",50,0.0
936,"Where was ""Skipper"" aimed at?",Directly at the center of the VMI Corps of Cadets,0.0
937,What did Sonny and George place in the barrel?,A charge,0.0
938,What did the cannon do when it was fired?,It blew the hats off of half of the VMI Corps,0.0
939,What happened to the press box when the cannon was fired?,It vibrated and the reporters had to place their hands on the glass to keep it from vibrating out of its frame,0.0
940,What was the reaction of the VMI Corps after the cannon was fired?,They were quiet and never challenged the veracity of their artillery again,0.0
941,What was the outcome of the game?,They won,0.0
942,How did this act affect the rest of their lives?,It became a legend,0.0
943,What book did Sonny write after retiring?,October Sky,0.0
944,"What is the largest Fireworks, Light show in the World?",Thunder Over Louisville,0.0
945,How many tons of fireworks are used in Thunder Over Louisville?,50 tons,0.0
946,How many World War II searchlights are used in Thunder Over Louisville?,112,0.0
947,How many aircraft are in the Thunder Over Louisville show?,125,0.0
948,What is the live audience size for Thunder Over Louisville?,"600,000",0.0
949,What is the televised audience size for Thunder Over Louisville?,over two million,0.0
950,What is the moral of the story?,never do anything in college that you don't want to do the rest of your life,0.0
951,What is the living symbol of the Virginia Tech Corps of Cadets?,something that Sonny and George and I had a small part in creating,0.0
952,Who had a small part in creating the living symbol of the Virginia Tech Corps of Cadets?,Sonny and George and I,0.0
953,What is the torch of tradition carried by?,the Virginia Tech Corps of Cadets,0.0
954,What do you always remember according to the old General?,"The Corps, and the Corps, and the Corps",0.0
955,What is the Virginia Tech Class Ring Tradition?,The Virginia Tech Class Ring Tradition is a tradition where the entire ring collection is redesigned for each class and rings are presented at a formal Ring Dance.,1.0
956,When did the Virginia Tech Class Ring Tradition begin?,The Virginia Tech Class Ring Tradition began with the Class of 1914.,1.0
957,What elements are included in the traditional ring collection?,"The traditional ring collection includes the screaming eagle, American flag, campus buildings, and an interlocking chain around the bezel.",1.0
958,What is the process for designing the class ring?,The Ring Committee designs a class ring representing the unique characteristics of their respective class.,1.0
959,What is the significance of selecting a Class namesake in the ring design process?,Selecting a Class namesake is done as a dedication to a distinguished alumnus or university president.,1.0
960,When does the Ring Dance weekend take place?,The Ring Dance weekend takes place in the spring of a student’s junior year.,1.0
